CATEGORY,SUBCATEGORY,Week number,Month number,Week day,QUANTITY,BONUSES_SPENT,COST (without bonuses),BONUSES_RECIVE
2,2,4,2,Fri,79.0,1126.51,4389.44,109.74
2,2,4,2,Sat,99.0,1451.9601,5641.16,141.03
2,2,4,2,Sun,82.0,1489.3501,5557.0503,138.93
2,2,4,2,Thu,63.0,1118.1901,4277.5503,106.94
2,2,4,2,Wed,59.0,1313.0901,5048.12,126.20
2,2,5,2,Fri,113.0,1382.51,5319.81,133.00
2,2,5,2,Mon,59.0,1050.17,4244.73,106.12
2,2,5,2,Sat,153.0,1830.65,7242.7803,181.07
2,2,5,2,Sun,144.0,1974.8,7459.89,186.50
2,2,5,2,Thu,90.0,1288.0,4879.0103,121.98
2,2,5,2,Tue,62.0,1128.03,4277.5503,106.94
2,2,5,2,Wed,84.0,1308.26,5194.46,129.86
2,2,6,2,Fri,123.0,1695.1901,6338.56,158.46
2,2,6,2,Mon,102.0,1492.62,5809.3804,145.23
2,2,6,2,Sat,160.0,1871.2301,7110.7603,177.77
2,2,6,2,Sun,204.0,2277.5,8582.88,214.57
2,2,6,2,Thu,117.0,1716.6001,6394.89,159.87
2,2,6,2,Tue,111.0,1497.3401,5738.73,143.47
2,2,6,2,Wed,103.0,1635.3301,6152.6104,153.82
2,2,7,2,Fri,152.0,1867.28,7167.0903,179.18
2,2,7,2,Mon,170.0,1801.12,7215.0,180.38
2,2,7,2,Sat,127.0,1522.39,5769.0303,144.23
2,2,7,2,Sun,108.0,1394.0,5154.1104,128.85
2,2,7,2,Thu,346.0,2671.32,10340.15,258.50
2,2,7,2,Tue,225.0,2058.1301,7750.08,193.75
2,2,7,2,Wed,429.0,2898.4302,11064.44,276.61
2,2,8,2,Mon,61.0,889.86005,3623.9102,90.60
2,2,8,2,Tue,51.0,1227.2001,4756.18,118.90
2,65,4,2,Fri,9.0,-8.089993,464.66,11.62
2,65,4,2,Sat,8.0,11.03001,840.36,21.01
2,65,4,2,Sun,7.0,18.110004,490.86,12.27
2,65,4,2,Thu,2.0,3.0100021,305.54,7.64
2,65,4,2,Wed,11.0,22.130005,557.0,13.93
2,65,5,2,Fri,11.0,2.4500084,534.82,13.37
2,65,5,2,Mon,10.0,-14.879993,415.64,10.39
2,65,5,2,Sat,27.0,33.69001,906.5,22.66
2,65,5,2,Sun,18.0,8.020008,721.18,18.03
2,65,5,2,Thu,18.0,33.15001,733.24,18.33
2,65,5,2,Tue,16.0,22.640007,800.42,20.01
2,65,5,2,Wed,15.0,14.570007,738.3,18.46
2,65,6,2,Fri,16.0,-27.049984,746.98,18.67
2,65,6,2,Mon,16.0,25.62001,906.5,22.66
2,65,6,2,Sat,21.0,12.790012,1167.04,29.18
2,65,6,2,Sun,29.0,32.20001,1123.08,28.08
2,65,6,2,Thu,16.0,2.7200089,663.08,16.58
2,65,6,2,Tue,16.0,20.110008,787.32,19.68
2,65,6,2,Wed,13.0,4.980007,672.16,16.80
2,65,7,2,Fri,19.0,34.94001,906.5,22.66
2,65,7,2,Mon,16.0,10.790009,849.44,21.24
2,65,7,2,Sat,17.0,6.5000076,676.18,16.90
2,65,7,2,Sun,15.0,20.850006,543.9,13.60
2,65,7,2,Thu,49.0,33.69001,1092.86,27.32
2,65,7,2,Tue,31.0,1.1800156,1144.86,28.62
2,65,7,2,Wed,48.0,20.060017,1322.14,33.05
2,65,8,2,Mon,10.0,55.360004,685.26,17.13
2,65,8,2,Tue,20.0,1.5000076,717.16,17.93
3,3,4,2,Fri,1.0,13.370056,552.28,13.81
3,3,4,2,Sun,3.0,59.23999,1672.06,41.80
3,3,4,2,Thu,2.0,34.02008,1111.8401,27.80
3,3,4,2,Wed,1.0,28.039978,556.25,13.91
3,3,5,2,Fri,1.0,6.580017,552.28,13.81
3,3,5,2,Mon,1.0,31.349976,559.56,13.99
3,3,5,2,Sat,2.0,27.230042,1111.8401,27.80
3,3,5,2,Sun,3.0,41.75,1672.06,41.80
3,3,5,2,Thu,1.0,24.070007,552.28,13.81
3,3,5,2,Tue,2.0,30.650024,1104.56,27.61
3,3,5,2,Wed,1.0,10.549988,556.25,13.91
